count	callee	no_raw	defs	def
26	xmemcpyz	0	1	crates/nvim/src/memory/mod.rs
25	internal_error	0	1	crates/nvim/src/message/errors.rs
24	.copy_from	0	0	
24	Walk::new	0	2	
24	at_opt	0	2	
24	emsg	0	0	
24	nlua_push_array	0	1	crates/nvim/src/lua/converter/push_object.rs
23	callback_free	0	1	crates/nvim/src/eval/typval/watcher.rs
23	ml_append	0	1	crates/nvim/src/memline/lines.rs
23	skiptowhite	0	1	crates/nvim/src/charset/walk.rs
23	strcasecmp	0	0	
23	tv_clear	0	0	
23	utf_ptr2len	0	1	crates/nvim/src/mbyte/utf8/mod.rs
23	xrealloc	0	1	crates/nvim/src/memory/mod.rs
22	utf_ptr2cells	0	1	crates/nvim/src/mbyte/cells.rs
22	utfc_next	1	1	crates/nvim/src/mbyte/walk.rs
21	Fmark::new	0	1	crates/nvim/src/mark/store.rs
21	atoi	0	0	
21	aucmd_prepbuf	0	1	crates/nvim/src/autocmd/aucmdwin.rs
21	eval1	0	1	crates/nvim/src/eval/expr/level.rs
21	free_wild	0	1	crates/nvim/src/path/expand.rs
21	init_charsize_arg	0	1	crates/nvim/src/plines/mod.rs
21	mf_put	0	1	crates/nvim/src/memfile/mod.rs
21	nlua_push_dict	0	1	crates/nvim/src/lua/converter/push_object.rs
21	os_dirname	0	1	crates/nvim/src/os/fs/mod.rs
21	slice_at	0	1	crates/nvim/src/cstr.rs
21	try_leave	0	1	crates/nvim/src/api/private/helpers/mod.rs
21	win_charsize	0	1	crates/nvim/src/plines/mod.rs
20	.get	0	8	
20	Buf::new	0	1	crates/nvim/src/winlayer.rs
20	aucmd_restbuf	0	1	crates/nvim/src/autocmd/aucmdwin.rs
20	find	0	5	
20	gchar_pos	0	1	crates/nvim/src/memline/lines.rs
20	home_replace	0	1	crates/nvim/src/os/env/dirs.rs
20	msg_ptr	0	1	crates/nvim/src/message/mod.rs
20	nlua_push_integer	0	1	crates/nvim/src/lua/converter/push_object.rs
20	nlua_push_object	0	1	crates/nvim/src/lua/converter/push_object.rs
20	try_enter	0	1	crates/nvim/src/api/private/helpers/mod.rs
19	api_free_luaref	1	1	crates/nvim/src/lua/executor/refs.rs
19	arena_mem_free	0	1	crates/nvim/src/memory/arena.rs
19	channel_decref	0	1	crates/nvim/src/channel/mod.rs
19	convert_setup	0	1	crates/nvim/src/mbyte/convert.rs
19	dict_set_var	0	1	crates/nvim/src/api/private/helpers/vimdict.rs
19	emsg_funcname	0	1	crates/nvim/src/eval/userfunc/name.rs
19	path_fnamecmp	0	0	
18	Db::new	0	68	
18	clear_evalarg	0	1	crates/nvim/src/eval/expr/level.rs
18	find_func	0	1	crates/nvim/src/eval/userfunc/name.rs
18	path_tail	0	1	crates/nvim/src/path/names.rs
18	uv_strerror	0	0	
18	vim_fgets	0	1	crates/nvim/src/fileio/mod.rs
18	xmallocz	0	1	crates/nvim/src/memory/mod.rs
17	.write	0	0	
17	Op::new	0	68	
17	Reader::new	0	1	crates/nvim/src/event/rstream.rs
17	Win::new	0	1	crates/nvim/src/winlayer.rs
17	add_str	0	5	
17	concat_str	0	1	crates/nvim/src/strings/mod.rs
17	full_name_save	0	1	crates/nvim/src/path/mod.rs
17	nlua_pop_object	0	1	crates/nvim/src/lua/converter/pop_object.rs
17	utf_ptr2str_char_info	0	1	crates/nvim/src/mbyte/walk.rs
17	value_check_lock	0	1	crates/nvim/src/eval/typval/value.rs
16	Di::new	0	68	
16	Ui::new	0	68	
16	append_to_redobuff	0	1	crates/nvim/src/getchar/redo.rs
16	concat_fnames	0	1	crates/nvim/src/path/names.rs
16	do_cmdline	0	1	crates/nvim/src/ex_docmd/cmdline.rs
16	getvcol	0	1	crates/nvim/src/plines/vcol.rs
16	ins_typebuf	0	1	crates/nvim/src/getchar/typeahead.rs
16	ml_find_line	0	1	crates/nvim/src/memline/tree.rs
16	nlua_exec	0	1	crates/nvim/src/lua/executor/exec.rs
15	Name::from_ptr	0	1	crates/nvim/src/file_search/mod.rs
15	String_0::from_owned_parts	0	1	crates/nvim/src/api/private/helpers/text.rs
15	Uf::new	0	68	
15	XString::from_raw	0	1	crates/nvim/src/memory/xstring.rs
15	buflist_new	0	1	crates/nvim/src/buffer/list.rs
15	callback_call	0	1	crates/nvim/src/eval/callback.rs
15	ga_clear	0	1	crates/nvim/src/garray.rs
15	ga_clear_strings	0	1	crates/nvim/src/garray.rs
15	getvvcol	0	1	crates/nvim/src/plines/vcol.rs
15	hash_init	0	1	crates/nvim/src/hashtab.rs
15	restore_v_event	0	1	crates/nvim/src/eval/entry.rs
15	tv_dict_item_free	0	1	crates/nvim/src/eval/typval/dictitem.rs
14	Bytes::new	0	1	crates/nvim/src/charset/mod.rs
14	NormalStateRef::new	0	1	crates/nvim/src/normal/state.rs
14	after_pathsep	0	1	crates/nvim/src/path/names.rs
14	c_str_len	0	1	crates/nvim/src/message_fmt/mod.rs
14	hash_add	0	1	crates/nvim/src/hashtab.rs
14	mb_ptr2char_adv	0	1	crates/nvim/src/mbyte/utf8/mod.rs
14	os_fileinfo_link	0	1	crates/nvim/src/os/fs/meta.rs
14	spell_iswordp	0	1	crates/nvim/src/spell/chartab.rs
14	state_at	1	1	crates/nvim/src/syntax/items.rs
14	string_convert	0	1	crates/nvim/src/mbyte/convert.rs
14	vim_iswordp	0	1	crates/nvim/src/charset/mod.rs
13	Shl::new	0	68	
13	block_prep	0	1	crates/nvim/src/ops/block.rs
13	cbuf_to_string	0	1	crates/nvim/src/api/private/helpers/text.rs
13	close	0	0	
13	corruption_error	0	1	crates/nvim/src/undo/file.rs
13	enc_canonize	0	1	crates/nvim/src/mbyte/encoding/mod.rs
13	get_v_event	0	1	crates/nvim/src/eval/entry.rs
13	get_yank_register	0	1	crates/nvim/src/register/store.rs
13	mb_cptr2char_adv	0	1	crates/nvim/src/mbyte/utf8/mod.rs
13	nlua_set_sctx	0	1	crates/nvim/src/lua/executor/ucmd.rs
13	notify	0	1	crates/nvim/src/mpack/lmpack/session.rs
13	partial_name	0	1	crates/nvim/src/eval/expr/call.rs
13	schar_get	0	1	crates/nvim/src/grid/schar.rs
13	syn_name2id	0	1	crates/nvim/src/highlight_group/table.rs
13	undo_read_4c	0	1	crates/nvim/src/undo/file.rs
13	vim_full_name	0	1	crates/nvim/src/path/mod.rs
13	vim_strsave_escaped	0	1	crates/nvim/src/strings/escape.rs
13	vterm_dealloc	0	1	crates/nvim/src/vterm/vterm.rs
12	.put	0	3	
12	Rex::acquire	1	1	crates/nvim/src/regexp/rex.rs
12	dict_watcher_notify	0	1	crates/nvim/src/eval/typval/watcher.rs
12	encode_tv2echo	0	1	crates/nvim/src/eval/encode/mod.rs
12	eval0	0	1	crates/nvim/src/eval/expr/level.rs
12	expand_one	0	1	crates/nvim/src/cmdexpand/expandone.rs
12	get_leader_len	0	1	crates/nvim/src/change/leader.rs
12	luaL_error	0	0	
12	mainerr	0	1	crates/nvim/src/startup/usage.rs
12	mb_get_class	0	1	crates/nvim/src/mbyte/class.rs
12	mb_strnicmp	0	1	crates/nvim/src/mbyte/case.rs
12	path_full_compare	0	1	crates/nvim/src/path/compare.rs
12	qsort	0	0	
12	spell_iswordp_nmw	0	1	crates/nvim/src/spell/chartab.rs
12	tabstop_padding	0	1	crates/nvim/src/indent/mod.rs
12	unref_extmatch	0	1	crates/nvim/src/regexp/context.rs
11	Child::new	0	1	crates/nvim/src/event/proc.rs
11	Dt::new	0	68	
11	EventLoop::new	0	1	crates/nvim/src/event/loop.rs
11	OptStr::borrowing	0	1	crates/nvim/src/option/value.rs
11	Qfe::new	0	68	
11	Screen::of	0	1	crates/nvim/src/vterm/screen/mod.rs
11	call_func	0	1	crates/nvim/src/eval/userfunc/dispatch.rs
11	dispatch_fast	0	1	crates/nvim/src/lua/api_wrappers/mod.rs
11	do_ecmd	0	1	crates/nvim/src/ex_cmds/ecmd/mod.rs
11	encode_tv2string	0	1	crates/nvim/src/eval/encode/mod.rs
11	ex_msg	0	1	crates/nvim/src/ex_docmd/source.rs
11	fix_fname	0	1	crates/nvim/src/path/mod.rs
11	free_fmark	1	1	crates/nvim/src/mark/mod.rs
11	hash_find	0	1	crates/nvim/src/hashtab.rs
11	optval_from_varp	1	1	crates/nvim/src/option/value.rs
11	os_env_exists	0	1	crates/nvim/src/os/env/mod.rs
11	os_open	0	1	crates/nvim/src/os/fs/mod.rs
11	path_is_absolute	0	0	
11	process_events_until	0	1	crates/nvim/src/event/loop.rs
11	same_name	0	1	crates/nvim/src/eval/funcs/runtime.rs
11	shift	0	1	crates/nvim/src/option/stropt.rs
11	take_arg	1	1	crates/nvim/src/ui_client.rs
11	time	0	0	
11	tv_dict_item_alloc_len	0	1	crates/nvim/src/eval/typval/dictitem.rs
11	tv_dict_unref	0	1	crates/nvim/src/eval/typval/dict.rs
11	tv_free	1	1	crates/nvim/src/eval/typval/value.rs
11	vim_str2nr	0	1	crates/nvim/src/charset/mod.rs
11	vterm_alloc	0	1	crates/nvim/src/vterm/vterm.rs
11	write	0	0	
10	.replace	0	4	
10	.write_bytes	0	0	
10	Fc::new	0	68	
10	ListRef::retained	0	1	crates/nvim/src/eval/typval/list.rs
10	Pb::new	0	68	
10	Pe::new	0	68	
10	PosRef::new	0	1	crates/nvim/src/winlayer.rs
10	Queue::new	0	1	crates/nvim/src/event/multiqueue.rs
10	Scan::new	0	4	
10	Screen::at	0	1	crates/nvim/src/vterm/screen/mod.rs
10	Tk::of	0	1	crates/nvim/src/tui/termkey/termkey.rs
10	apply_autocmds_group	0	1	crates/nvim/src/autocmd/fire.rs
10	byte_at	0	1	crates/nvim/src/plines/mod.rs
10	cbytes	0	2	
10	cleanup_conditionals	0	1	crates/nvim/src/ex_eval/mod.rs
10	clear_virttext	0	1	crates/nvim/src/decoration/mod.rs
10	do_unlet	0	1	crates/nvim/src/eval/vars/unlet.rs
10	emsg_multiline	0	1	crates/nvim/src/message/errors.rs
10	evaluating	0	4	
10	expand_env	0	1	crates/nvim/src/os/env/expand.rs
10	expand_init	0	1	crates/nvim/src/cmdexpand/expandone.rs
10	fill_evalarg_from_eap	0	1	crates/nvim/src/eval/entry.rs
10	find_word_end	0	1	crates/nvim/src/insexpand/text.rs
10	get_y_register	0	1	crates/nvim/src/register/store.rs
10	give_warning	0	1	crates/nvim/src/message/errors.rs
10	hash_lookup	0	1	crates/nvim/src/hashtab.rs
10	memchrsub	0	1	crates/nvim/src/memory/mod.rs
10	mf_fname	0	1	crates/nvim/src/memfile/swapfile.rs
10	msg_sb_start	0	1	crates/nvim/src/message/scrollback.rs
10	nlua_pop_array	0	1	crates/nvim/src/lua/converter/pop.rs
10	nlua_push_boolean	0	1	crates/nvim/src/lua/converter/push_object.rs
10	normalize_index	0	1	crates/nvim/src/api/private/helpers/text.rs
10	option_set_callback_func	0	1	crates/nvim/src/option/query.rs
10	os_setperm	0	0	
10	qf_get_list	0	1	crates/nvim/src/quickfix/stack.rs
10	schar_get_first_codepoint	1	1	crates/nvim/src/grid/schar.rs
10	searchit	0	1	crates/nvim/src/search/find.rs
10	set_keep_msg	0	1	crates/nvim/src/message/mod.rs
10	set_ref_in_callback	0	1	crates/nvim/src/eval/callback.rs
10	set_ref_in_item	0	1	crates/nvim/src/eval/collect.rs
10	shada_pack_entry	0	1	crates/nvim/src/shada/pack.rs
10	state_of	0	1	crates/nvim/src/vterm/state/entry.rs
10	strchr	0	1	crates/nvim/src/os/cshim.rs
10	strncasecmp	0	1	crates/nvim/src/os/cshim.rs
9	Cursor::new	0	3	
9	DictRef::owning	0	1	crates/nvim/src/eval/typval/dict.rs
9	DictRef::retained	0	1	crates/nvim/src/eval/typval/dict.rs
9	GridRef::new	0	1	crates/nvim/src/grid/mod.rs
9	Ln::new	0	1	crates/nvim/src/change/open_line/smart.rs
9	Node::from_ptr	0	1	crates/nvim/src/marktree/node.rs
9	add_suggestion	0	1	crates/nvim/src/spellsuggest/collect.rs
9	channel_incref	0	1	crates/nvim/src/channel/mod.rs
9	check_nextcmd	0	1	crates/nvim/src/ex_docmd/scan.rs
9	cstrncmp	0	1	crates/nvim/src/regexp/mbyte.rs
9	db_line_start	1	1	crates/nvim/src/memline/tree.rs
9	do_put	0	1	crates/nvim/src/register/put/mod.rs
9	free_register	0	1	crates/nvim/src/register/store.rs
9	get_unsigned_int	0	1	crates/nvim/src/strings/printf/spec.rs
9	gettext_ptr	0	1	crates/nvim/src/os/cshim.rs
9	hash_remove	0	1	crates/nvim/src/hashtab.rs
9	home_replace_save	0	1	crates/nvim/src/os/env/dirs.rs
9	iemsg_ptr	0	1	crates/nvim/src/message/errors.rs
9	linegrid	0	1	crates/nvim/src/api/ui/events.rs
9	mb_charlen	0	1	crates/nvim/src/mbyte/walk.rs
9	nlua_push_handle	0	1	crates/nvim/src/lua/converter/push_object.rs
9	parse_match	0	1	crates/nvim/src/tag/jump.rs
9	prompt_for_input	0	1	crates/nvim/src/input.rs
9	push_call	0	1	crates/nvim/src/api/ui/packer.rs
9	put_str	0	2	
9	read_redo	1	1	crates/nvim/src/getchar/redo.rs
9	rpc_send_event	0	1	crates/nvim/src/msgpack_rpc/channel/mod.rs
9	shada_key	0	1	crates/nvim/src/shada/mod.rs
9	spell_casefold	0	1	crates/nvim/src/spell/chartab.rs
9	spell_soundfold	0	1	crates/nvim/src/spell/soundfold.rs
9	state_top	1	1	crates/nvim/src/syntax/items.rs
9	strcat	0	0	
9	tv_get_number	0	0	
9	utfc_ptr2len_len	0	1	crates/nvim/src/mbyte/utf8/mod.rs
9	win_chartabsize	0	1	crates/nvim/src/plines/mod.rs
8	.bytes	0	3	
8	Buf::from_raw	0	1	crates/nvim/src/winlayer.rs
8	Conn::new	0	1	crates/nvim/src/event/stream.rs
8	Cur::new	0	1	crates/nvim/src/eval/expr/level.rs
8	Lv::new	0	68	
8	Self::new	0	68	
8	alist_name	0	1	crates/nvim/src/arglist/mod.rs
8	captype	0	1	crates/nvim/src/spell/chartab.rs
8	clear_lval	0	1	crates/nvim/src/eval/lval.rs
8	decor_provider_invoke	0	1	crates/nvim/src/decoration_provider.rs
8	dict_add_nr	0	4	
8	dict_add_str	0	3	
8	do_in_path	0	1	crates/nvim/src/runtime/search.rs
8	do_intthrow	0	1	crates/nvim/src/ex_eval/exception.rs
8	do_source	0	1	crates/nvim/src/runtime/source.rs
8	eval_has_provider	0	1	crates/nvim/src/eval/provider.rs
8	eval_to_string	0	1	crates/nvim/src/eval/entry.rs
8	event_name2nr	0	1	crates/nvim/src/autocmd/events.rs
8	expand_wildcards	0	1	crates/nvim/src/path/expand.rs
8	find_var	0	1	crates/nvim/src/eval/vars/lookup.rs
8	get_var_value	0	1	crates/nvim/src/eval/vars/lookup.rs
8	hash_add_item	0	1	crates/nvim/src/hashtab.rs
8	hash_hash	0	1	crates/nvim/src/hashtab.rs
8	hash_lock	0	1	crates/nvim/src/hashtab.rs
8	init_var_dict	0	1	crates/nvim/src/eval/vars/lifecycle.rs
8	ins_str	0	1	crates/nvim/src/change/text.rs
8	lua_gettop	0	0	
8	make_case_word	0	1	crates/nvim/src/spell/chartab.rs
8	mark_get	0	1	crates/nvim/src/mark/lookup.rs
8	ml_replace_buf	0	1	crates/nvim/src/memline/lines.rs
8	modname	0	1	crates/nvim/src/fileio/names.rs
8	nlua_push_string	0	1	crates/nvim/src/lua/converter/push_object.rs
8	object_to_hl_id	0	1	crates/nvim/src/api/private/helpers/value.rs
8	opt_strings_mask	0	1	crates/nvim/src/optionstr/flags.rs
8	os_chdir	0	0	
8	os_fileinfo_id_equal	0	1	crates/nvim/src/os/fs/meta.rs
8	path_with_url	0	0	
8	pos_to_mark	0	1	crates/nvim/src/mark/mod.rs
8	send	0	3	
8	terminal_check_size	0	1	crates/nvim/src/terminal/mod.rs
8	time_msg	0	1	crates/nvim/src/profile/startuptime.rs
8	tv_dict_item_remove	0	1	crates/nvim/src/eval/typval/dictitem.rs
8	tv_dict_iter	0	1	crates/nvim/src/eval/typval/access.rs
8	utf_ptr2len_len	0	1	crates/nvim/src/mbyte/utf8/mod.rs
8	uv_close	0	0	
8	vim_getenv	0	1	crates/nvim/src/os/env/dirs.rs
8	vim_rename	0	1	crates/nvim/src/fileio/names.rs
7	.add_or_free	0	1	crates/nvim/src/eval/typval/dict.rs
7	.list	1	2	crates/nvim/src/usercmd/mod.rs
7	FoldList::new	0	1	crates/nvim/src/fold/list.rs
7	Qfl::new	0	68	
7	Watcher::new	0	1	crates/nvim/src/event/socket/mod.rs
7	add_pathsep	0	1	crates/nvim/src/path/names.rs
7	additional_data_len	0	1	crates/nvim/src/shada/pack.rs
7	append_to_redobuff_literally	0	1	crates/nvim/src/getchar/redo.rs
7	augroup_find	0	1	crates/nvim/src/autocmd/groups.rs
7	callback_from_typval	0	1	crates/nvim/src/eval/callback.rs
7	change_warning	1	1	crates/nvim/src/change/flag.rs
7	channel_alloc	0	1	crates/nvim/src/channel/mod.rs
7	cmdline_fuzzy_complete	0	1	crates/nvim/src/cmdexpand/escape.rs
7	do_search	0	1	crates/nvim/src/search/command.rs
7	dump_additional_data	0	1	crates/nvim/src/shada/pack.rs
7	eval_call_provider	0	1	crates/nvim/src/eval/provider.rs
7	expand_env_save	0	1	crates/nvim/src/os/env/expand.rs
7	file_open	0	1	crates/nvim/src/os/fileio.rs
7	file_pat_to_reg_pat	0	1	crates/nvim/src/fileio/names.rs
7	find_ident_under_cursor	0	1	crates/nvim/src/normal/identfind.rs
7	func_ref	0	1	crates/nvim/src/eval/userfunc/funccall.rs
7	ga_append	0	1	crates/nvim/src/garray.rs
7	ga_concat_cstr	0	1	crates/nvim/src/testing/report.rs
7	ga_concat_len	0	1	crates/nvim/src/garray.rs
7	gen_expand_wildcards	0	1	crates/nvim/src/path/expand.rs
7	ignorecase	0	1	crates/nvim/src/search/pattern.rs
7	in_id_list	0	1	crates/nvim/src/syntax/options.rs
7	ins_char_bytes	0	1	crates/nvim/src/change/text.rs
7	ins_compl_insert_bytes	0	1	crates/nvim/src/insexpand/insert.rs
7	list_hashtable_vars	0	1	crates/nvim/src/eval/vars/listing.rs
7	mb_string2cells	0	1	crates/nvim/src/mbyte/cells.rs
7	memchr	0	0	
7	mf_get	0	1	crates/nvim/src/memfile/mod.rs
7	ml_append_buf	0	1	crates/nvim/src/memline/lines.rs
7	multiqueue_process_events	0	1	crates/nvim/src/event/multiqueue.rs
7	nvim_buf_set_lines	0	1	crates/nvim/src/api/buffer/lines.rs
7	os_getperm	0	1	crates/nvim/src/os/fs/meta.rs
7	os_mkdir_recurse	0	1	crates/nvim/src/os/fs/dir.rs
7	put	0	3	
7	put_eol	0	1	crates/nvim/src/ex_session/mod.rs
7	put_header_link	0	1	crates/nvim/src/undo/file.rs
7	putc	0	0	
7	qf_list_empty	0	1	crates/nvim/src/quickfix/list.rs
7	readfile	0	1	crates/nvim/src/fileio/read.rs
7	restore_funccal	1	1	crates/nvim/src/eval/userfunc/funccall.rs
7	restore_win_noblock	0	1	crates/nvim/src/eval/window/switch.rs
7	save_funccal	0	1	crates/nvim/src/eval/userfunc/funccall.rs
7	set_chars_option	0	1	crates/nvim/src/optionstr/chars.rs
7	set_string_default	0	1	crates/nvim/src/option/defaults.rs
7	skip_regexp	0	1	crates/nvim/src/regexp/parse.rs
7	strnequal	0	1	crates/nvim/src/memory/mod.rs
7	tabstop_count	0	1	crates/nvim/src/indent/mod.rs
7	ui_comp_remove_grid	0	1	crates/nvim/src/ui_compositor/mod.rs
7	utf_composinglike	0	1	crates/nvim/src/mbyte/utf8/mod.rs
7	var_check_ro	0	1	crates/nvim/src/eval/vars/store.rs
7	vim_findfile_cleanup	0	1	crates/nvim/src/file_search/init.rs
7	vim_is_abs_name	0	0	
7	vim_isprintc	0	0	
7	vim_regexec_nl	0	1	crates/nvim/src/regexp/api.rs
7	xfree_clear	0	1	crates/nvim/src/spell/slang.rs
6	.finish_value	1	1	crates/nvim/src/eval/decode/json/stack.rs
6	.push	0	2	
6	.set	1	3	
6	CText::new	0	1	crates/nvim/src/menu/mod.rs
6	ClickArena::new	0	1	crates/nvim/src/statusline/mod.rs
6	PartialRef::owning	0	1	crates/nvim/src/eval/typval/partial.rs
6	Sh::new	0	1	crates/nvim/src/decoration/handles.rs
6	String_0::from_raw_bytes	0	1	crates/nvim/src/api/private/helpers/text.rs
6	Timer::new	0	1	crates/nvim/src/event/time.rs
6	Tm::new	0	68	
6	Win::from_raw	0	1	crates/nvim/src/winlayer.rs
6	Xfmark::new	0	1	crates/nvim/src/mark/store.rs
6	apply_autocmds_exarg	0	1	crates/nvim/src/autocmd/fire.rs
6	arena_alloc	0	1	crates/nvim/src/memory/arena.rs
6	aucmd_del	0	1	crates/nvim/src/autocmd/cleanup.rs
6	aucmd_span_pattern	0	1	crates/nvim/src/autocmd/define.rs
6	augroup_exists	0	1	crates/nvim/src/autocmd/groups.rs
6	b0_store_number	0	0	
6	buf_check_timestamp	1	1	crates/nvim/src/fileio/timestamp.rs
6	buflist_findname_exp	0	1	crates/nvim/src/buffer/list.rs
6	bytes_at_or_empty	0	1	crates/nvim/src/cstr.rs
6	bytes_of	0	1	crates/nvim/src/runtime/rtp.rs
6	cat_prefix_varname	0	1	crates/nvim/src/eval/vars/lookup.rs
6	chan_close_on_err	0	1	crates/nvim/src/msgpack_rpc/channel/mod.rs
6	channel_close	0	1	crates/nvim/src/channel/mod.rs
6	channel_create_event	0	1	crates/nvim/src/channel/info.rs
6	cleanup_suggestions	0	1	crates/nvim/src/spellsuggest/collect.rs
6	decode_string	0	1	crates/nvim/src/eval/decode/mod.rs
6	delete_fold_recurse	0	1	crates/nvim/src/fold/mod.rs
6	dict_extend	0	1	crates/nvim/src/eval/typval/dict.rs
6	dict_get_callback	0	0	
6	did_set_option_listflag	0	1	crates/nvim/src/optionstr/flags.rs
6	do_dialog	0	1	crates/nvim/src/message/dialog.rs
6	do_markset_autocmd	0	1	crates/nvim/src/mark/mod.rs
6	eval_variable	0	1	crates/nvim/src/eval/vars/lookup.rs
6	expand_cleanup	0	1	crates/nvim/src/cmdexpand/expandone.rs
6	expand_set_opt_listflag	0	1	crates/nvim/src/optionstr/expand.rs
6	filemess	0	1	crates/nvim/src/fileio/mod.rs
6	fill_assert_error	0	1	crates/nvim/src/testing/report.rs
6	find_name_end	0	1	crates/nvim/src/eval/name.rs
6	find_word	1	1	crates/nvim/src/spell/lookup.rs
6	find_word_start	0	1	crates/nvim/src/insexpand/text.rs
6	flag_in_afflist	0	1	crates/nvim/src/spellfile/flags.rs
6	free_spat	1	1	crates/nvim/src/search/pattern.rs
6	free_string_option	0	1	crates/nvim/src/optionstr/check.rs
6	free_xfmark	1	1	crates/nvim/src/mark/mod.rs
6	fseeko	0	0	
6	get_fio_flags	0	1	crates/nvim/src/fileio/convert.rs
6	getdigits	0	1	crates/nvim/src/charset/walk.rs
6	getline_equal	0	1	crates/nvim/src/ex_docmd/source.rs
6	getvcols	0	1	crates/nvim/src/plines/vcol.rs
6	globpath	0	1	crates/nvim/src/cmdexpand/userfunc.rs
6	handler	0	0	
6	hash_unlock	0	1	crates/nvim/src/hashtab.rs
6	hl_msg_push	1	1	crates/nvim/src/message/mod.rs
